amenity,addr:county,addr:district,operator:type,fees,photo,source,operational_status,drinking_water,water:system,pump,name,latitude,longitude,install_year
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F4b95bcbf-9c7a-462d-ac7b-2cecf24df115%2F1652966567701.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.7988027,32.3477014,5/6/2018
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F022abd73-a1c7-47ac-a65a-c9f296dbc4fa%2F1653127259205.jpg,youthmappers_gulu,functional_not_in_use,yes,groundwater,yes,rainwater_harvest_tank,2.8016602,32.412956,8/15/2019
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F8534ab2f-545e-4b59-a397-9d415f9be3ae%2F1652868979450.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7919916,32.3462898,
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fdf762c94-9340-4192-b5ea-079605f92417%2F1653300801542.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,tap,2.7692574,32.2371889,2/15/2018
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fab7d481a-cd34-4df9-86a7-e0a09ccd4451%2F1652875669460.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.848318,32.3418087,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fb3902e7f-1e1e-4476-93d2-ea04d1d1f549%2F1653393603357.jpg,youthmappers_gulu,non_functional,yes,groundwater,yes,deep_borehole,2.823816,32.2319886,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F95efc9ef-df79-42b3-b61d-5973c208c5e2%2F1652959102174.jpg,youthmappers_gulu,functional_not_in_use,yes,groundwater,yes,tap,2.7918059,32.3665762,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F2dabd065-3295-4bf2-ab80-c100728cc069%2F1652968164572.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.81711,32.4174083,5/1/1990
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F1cdc34f9-8b35-4658-bbef-ee32273db5d2%2F1652873959754.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,water_truck_tank,2.8241922,32.3171303,5/18/2019
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Feaffc3ea-3ccb-4ba5-a87b-1cfcb48359c3%2F1653311433425.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,no,rainwater_harvest_tank,2.8689236,32.2642989,
